candidate	imposed_LB	imposed_UB	stem_growth	leaf_growth	root_growth	stem_fraction	leaf_fraction	root_fraction	model_stat	solver_stat
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_c__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_x__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_TRANSALDOL_RXN_p__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ABC_12_RXN_c2x__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_11501_m__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_8_4_9_RXN_p__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_p__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_25_RXN_c2x__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_25_RXN_c2p__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMIN_RXN_x__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_x__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_p__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_8089_er__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN0_1483_m__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_NADPYROPHOSPHAT_RXN_er__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_er__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GCVMULTI_RXN_m__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ABC_12_RXN_c2m__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_er__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_CINNAMOYL_COA_REDUCTASE_RXN_er__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_x__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_c__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPARTATE_SEMIALDEHYDE_DEHYDROGENASE_RXN_p__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_NITRATE_REDUCTASE_NADH_RXN_c__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_6_2_1_34_RXN_c__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_4_1_123_RXN_m__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_THIOREDOXIN_REDUCT_NADPH_RXN_p__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_THREONINE_ALDOLASE_RXN_m__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_m__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12019_m__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_INORGPYROPHOSPHAT_RXN_er__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GCVMULTI_RXN_c__L___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_TRANSALDOL_RXN_p__S___LIGHT	-1634.70842389	-1634.70842389	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_m__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GABATRANSAM_RXN_m__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_FRUCTOKINASE_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_er__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_8642_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PHOSCHOL_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12440_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_m__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_p__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_SUCROSE_SYNTHASE_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9951_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_er__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_LACTALDDEHYDROG_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ALANINE__GLYOXYLATE_AMINOTRANSFERASE_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9848_g__S___LIGHT	-295.18681836	-295.18681836	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3521_x__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12440_p__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMATE_DEHYDROGENASE_NADP_RXN_er__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9848_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_er__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3521_p__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PGLYCDEHYDROG_RXN_p__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PEPDEPHOS_RXN_m__S___LIGHT	-5502.34045072	-5502.34045072	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_6_2_1_34_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_8_5_1_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_FRUCTOKINASE_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_6_2_1_34_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN66_3_p__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_m__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3521_c__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_FRUCTOKINASE_RXN_p__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_8_5_1_RXN_p__S___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_6161_p__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_g__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASNSYNB_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12199_er__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_x__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_APYRASE_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_c__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_CELLULOSE_SYNTHASE_UDP_FORMING_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00001023	0.00001023	0.00003029	        0.01	        0.01	        0.01	        1.00	        1.00
RXN_3_6_3_44_RXN_c2m__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_x__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_TRANSALDOL_RXN_p__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ABC_12_RXN_c2g__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ABC_12_RXN_c2p__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ABC_12_RXN_c2x__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_APYRASE_RXN_p__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_11501_m__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMATE_DEHYDROGENASE_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_p__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12197_p__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ATPASE_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_11662_m__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPARAGHYD_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_p__R___LIGHT	-0.00000023	-0.00000023	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2er__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2g__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2x__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2p__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_7_7_13_RXN_m__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_7_1_90_RXN_c__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_c__R___LIGHT	-0.00000139	-0.00000139	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_25_RXN_c2m__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_25_RXN_c2x__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_25_RXN_c2p__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_NADPYROPHOSPHAT_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_4_RXN_c2er__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMIN_RXN_x__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_FRUCTOKINASE_RXN_c__R___LIGHT	0.00000000	0.00000000	-0.69978073	-0.69978073	-2.07192842	     -728.91	     -728.91	     -728.91	        4.00	        1.00
RXN_RXN_10862_g__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PREPHENATE_ASP_TRANSAMINE_RXN_c__R___LIGHT	-0.00000139	-0.00000139	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_p__R___LIGHT	0.00000000	0.00000000	0.00001023	0.00001023	0.00003029	        0.01	        0.01	        0.01	        1.00	        1.00
RXN_RXN_14455_c2m__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_er__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_14455_c2p__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PHOSPHATIDATE_PHOSPHATASE_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_g__R___LIGHT	0.00000000	0.00000000	0.00096006	0.00096006	0.00284256	        1.00	        1.00	        1.00	        1.00	        1.00
