candidate	imposed_LB	imposed_UB	stem_growth	leaf_growth	root_growth	stem_fraction	leaf_fraction	root_fraction	model_stat	solver_stat
RXN_GLUTAMIN_RXN_x__L___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_8089_er__L___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_CINNAMOYL_COA_REDUCTASE_RXN_er__L___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_x__L___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_TRANSALDOL_RXN_p__S___LIGHT	-817.35421194	-817.35421194	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_m__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GABATRANSAM_RXN_m__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_FRUCTOKINASE_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_er__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_8642_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PHOSCHOL_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12440_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_m__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_p__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_SUCROSE_SYNTHASE_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9951_c__S___LIGHT	0.00000000	0.00000000	0.00014225	0.00014225	0.00275419	        1.00	        1.00	        1.00	        1.00	        1.00
