candidate	imposed_LB	imposed_UB	stem_growth	leaf_growth	root_growth	stem_fraction	leaf_fraction	root_fraction	model_stat	solver_stat
RXN_GLUTAMIN_RXN_x__L___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_8089_er__L___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_p__L___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9615_c2p__L___LIGHT	-2559.35739951	-2559.35739951	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_CINNAMOYL_COA_REDUCTASE_RXN_er__L___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_x__L___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_er__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_g__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_8642_p__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_c__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_CELLULOSE_SYNTHASE_UDP_FORMING_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2m__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_x__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_TRANSALDOL_RXN_p__S___LIGHT	-70.72633743	-70.72633743	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_m__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_F16ALDOLASE_RXN_c__S___LIGHT	-927.29838905	-927.29838905	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_9952_c__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_11501_m__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_p__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_R00506_g__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2er__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLYOHMETRANS_RXN_m__S___LIGHT	-663.58540145	-663.58540145	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2g__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2x__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2p__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_7_7_13_RXN_m__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_7_1_90_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GABATRANSAM_RXN_m__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMATE_DEHYDROGENASE_NADP_RXN_g__S___LIGHT	-327.59615440	-327.59615440	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_7_7_13_RXN_p__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_NADPYROPHOSPHAT_RXN_g__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_7_1_68_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_p__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_7_1_150_RXN_er__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_14455_c2m__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_er__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_14455_c2p__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUCOSE_6_PHOSPHATE_1_EPIMERASE_RXN_m__S___LIGHT	-98.27884632	-98.27884632	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_8642_c__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PHOSPHATIDATE_PHOSPHATASE_RXN_g__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_PHOSCHOL_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_12440_c__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ASPAMINOTRANS_RXN_g__S___LIGHT	-327.59615440	-327.59615440	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_2_7_1_68_RXN_g__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_er__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMATE_DEHYDROGENASE_NADP_RXN_m__S___LIGHT	-234.90807057	-234.90807057	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_m__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_6PGLUCONOLACT_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00014223	0.00014223	0.00275367	        1.00	        1.00	        1.00	        1.00	        1.00
