candidate	imposed_LB	imposed_UB	stem_growth	leaf_growth	root_growth	stem_fraction	leaf_fraction	root_fraction	model_stat	solver_stat
RXN_GLUTAMIN_RXN_x__L___LIGHT	0.00000000	0.00000000	0.00096004	0.00096004	0.00284250	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_8089_er__L___LIGHT	0.00000000	0.00000000	0.00096004	0.00096004	0.00284250	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_CINNAMOYL_COA_REDUCTASE_RXN_er__L___LIGHT	0.00000000	0.00000000	0.00096004	0.00096004	0.00284250	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_er__S___LIGHT	0.00000000	0.00000000	0.00096004	0.00096004	0.00284250	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_g__S___LIGHT	0.00000000	0.00000000	0.00096004	0.00096004	0.00284250	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_8642_p__S___LIGHT	0.00000000	0.00000000	0.00096004	0.00096004	0.00284250	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_x__S___LIGHT	0.00000000	0.00000000	0.00096004	0.00096004	0.00284250	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_3541_c__S___LIGHT	0.00000000	0.00000000	0.00096004	0.00096004	0.00284250	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_CELLULOSE_SYNTHASE_UDP_FORMING_RXN_c__S___LIGHT	0.00000000	0.00000000	0.00096004	0.00096004	0.00284250	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2m__S___LIGHT	0.00000000	0.00000000	0.00096004	0.00096004	0.00284250	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_2043_x__S___LIGHT	0.00000000	0.00000000	0.00096004	0.00096004	0.00284250	        1.00	        1.00	        1.00	        1.00	        1.00
