candidate	imposed_LB	imposed_UB	stem_growth	leaf_growth	root_growth	stem_fraction	leaf_fraction	root_fraction	model_stat	solver_stat
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_c__L___LIGHT	-65.33732167	-65.33732167	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTAMINESYN_RXN_er__L___LIGHT	0.00000000	0.00000000	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN66_526_c__L___LIGHT	0.00000000	0.00000000	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_6_5_4_RXN_x__L___LIGHT	0.00000000	0.00000000	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2m__L___LIGHT	0.00000000	0.00000000	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_TRANSALDOL_RXN_p__L___LIGHT	-41.91271656	-41.91271656	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ABC_12_RXN_c2x__L___LIGHT	0.00000000	0.00000000	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_RXN_11501_m__L___LIGHT	0.00000000	0.00000000	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_1_8_4_9_RXN_p__L___LIGHT	-130.67464335	-130.67464335	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_ATPASE_RXN_m__L___LIGHT	0.00000000	0.00000000	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_p__L___LIGHT	-130.67464335	-130.67464335	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2er__L___LIGHT	0.00000000	0.00000000	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2g__L___LIGHT	0.00000000	0.00000000	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
RXN_3_6_3_44_RXN_c2x__L___LIGHT	0.00000000	0.00000000	0.00001184	0.00001184	0.00210204	        1.00	        1.00	        1.00	        1.00	        1.00
