rxn	LB	min	max	UB	ModelStat	SolveStat
RXN_UDPREDUCT_RXN_p__L___LIGHT	-10000.00000000	0.00000000	0.00000000	0.00000000	        1.00	        1.00
RXN_E2C_mg2__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN_11755_er__L___LIGHT	0.00000000	0.00000000	178.89350878	10000.00000000	        1.00	        1.00
RXN_ICOSANOYL_COA_SYNTHASE_RXN_er__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_GPH_RXN_er__L___LIGHT	0.00000000	0.00000000	18.18155443	10000.00000000	        1.00	        1.00
RXN_RXN_15816__L___LIGHT	-10000.00000000	0.00000000	130.67464335	10000.00000000	        1.00	        1.00
RXN_Trans_oxygen_molecule_m__L___LIGHT	-10000.00000000	-4499.50567833	65.33732167	10000.00000000	        1.00	        1.00
RXN_Trans_cpd_12860_er__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_GLUTATHIONE_REDUCT_NADPH_RXN_c__L___LIGHT	-10000.00000000	-65.33732167	0.00000000	0.00000000	        1.00	        1.00
RXN_RXN1F_155_p__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_LINOLEOYL_RXN_er__L___LIGHT	0.00000000	0.00000000	89.44675439	10000.00000000	        1.00	        1.00
RXN_RXN_4209_c__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN66_3_m__L___LIGHT	0.00000000	0.00000000	19.05671882	10000.00000000	        1.00	        1.00
RXN_Trans_cpd_211_er__L___LIGHT	-10000.00000000	-18.18155443	0.00000000	10000.00000000	        1.00	        1.00
RXN_CYCLOEUCALENOL_CYCLOISOMERASE_RXN_m__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_Trans_phosphatidylcholine_g__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_Trans_malonyl_acp_m__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_RXN_16380_c__L___LIGHT	0.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_Trans_cpd_14220_p__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_PYRUVATE_CARBOXYLASE_RXN_p__L___LIGHT	0.00000000	0.00000000	203.44855812	10000.00000000	        1.00	        1.00
RXN_RXN_13323_c__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
RXN_2_3_1_179_RXN_p__L___LIGHT	-10000.00000000	0.00000000	0.00000000	10000.00000000	        1.00	        1.00
